Name,What do you think is causing the UMEs in the Indian River lagoon,Species selected,Why do you think [species] is the most important to focus on?,Hypothesis?,Rationale for choosin hypothesis,How can I test my hypothesis?,Test1,Test1look_for,Test1conclusion_text,Test2,Test2look_for,Test2conclusion_text,Test3,Test3look_for,Test3conclusion_text,Test4,Test4look_for,Test4conclusion_text,Test5,Test5look_for,Test5conclusion_text,What observations did you make that supported your hypothesis?,What observations did you make that would support another hypothesis?,Do you think your hypothesis was supported or refuted?,Why?,What can you conclude about the cause of the UME in [species]?,Do you think this is specific to [species]?,Why is it specific or not to [species]?,Do you think that the cause of the UME is the same or different in the Indian River Lagoon and along the East Coast?,Why is it the same or different?
The Manatees (11),humans,Manatees,"We think the Manatee is the most important to focus on because they depend so much on the seagrass. If there is a problem with the seagrass, the Manatees would notice considering they eat 100 pounds a day. It would be getting harder for the Manatees to find food. Also, Manatees are mammels, like humans.",,,,Necropsy of Affected Manatees,"pollution in the stomach, diseases, affected nerves, tissues, cells, etc., oil, skin pollution, affected brain tissue stuff.", Conclusions:The algae in the stomach was most surprising. Our hypothesis was refuted.,Investigate Algal Blooms,Gracilaria algae in stomach, Do you think algal blooms are contributing to the UME?yes,,,,,,,,,,,,,,,,,,,
brennisons'son (12),could it be that the food they eat contains a virus or bactirium that infects the animals?,Bottlenose Dolphins,They are an endangered species.,The bottlenose dolphins are getting sick from the food they eat,"The dolphins live in the same habitat as there food so if there food gets a disease then when the dolphins eat the food, the disease will transmitt to the dolphins, and because the dolphins live in pods, the disease will transmitt to all of them.",testing the dolphins' foods and seeing if there is anything harmfull to them..,Necropsy of Affected Dolphins,harmful attributes, Conclusions:our hypothsis is supported,,,,,,,,,,,,,,,,,,,,,,
i dont under stander (13),polution,Manatees,because the seagrass is disapering and the manaties are important,the manaties will move to eat,because of the boats ruining the seagrass,put a manatee in a tank with limited food then see where it goes,Necropsy of Affected Manatees,how they eat, Conclusions:yes it was supported,Analyze Water Quality,the salitity in the water, Do you think water quality is contributing to the UME?the water may have polution in it that the animals maybe eating or breathing,Seagrass Examination,to see how much alge was growing in the general area,"
                                                              What does this graph tell you:there food is st5arting to be lost 
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?the animals maybe starving to death 
                                                              Why?the food is being lost so they have to find a new sorce of food
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?it may have polution on it or in it
                                                              How would you test to see if that is the cause?see how much seagrass has been eaten or how good the seagrass is",Analyze Water Quality,how clean the water is, Do you think water quality is contributing to the UME?yes it may be carying polution to the seagrasses,,,,,the manatee went in circles ,the he/she went to the corner in  search of food,supported,the manatee did search for food,the sea grasses being destroyed,to other species because they had to find food,because manatees eat so much sea grass,lots of dolfins are dieing,no
The Manatees 2 (14),filled in on previous try,Manatees,filled in on previous try,filled in on previous try,filled in on previous try,filled in on previous try,Necropsy of Affected Manatees,filled in on previous try, Conclusions:filled in on previous try,Investigate Algal Blooms,filled in on previous try, Do you think algal blooms are contributing to the UME?filled in on previous try,,,,,,,,,,,none,"The autopsy on the manatee showed that there was algae in the manatee's stomach, which means algae surrounding the seagrass is causing the decline in manatees",Refuted,"We thought boating was hurting the manatee's, but it was algae",,,,,
melaniemelanie (15),xx,Manatees,xx,xx,xx,xx,Look for Invasive Species,dcdd, Do you think invasive species are contributing to the UME? Why?sdds,Necropsy of Affected Manatees,sd, Conclusions:sdd,,,,,,,,,,,cc,ccc,ccc,ccc,sss,sss,sss,ss,ss
mmmmmmm (16),cc,Bottlenose Dolphins,ddd,ss,ss,ss,Necropsy of Affected Brown Pelicans,ss, What information was the most striking? Is your hypothesis supported/refuted?s,,,,,,,,,,,,,,,,,,,,,,
asdsads (17),ddfd,Bottlenose Dolphins,dsfs,sdf,sdf,sdfsdf,Seagrass Examination,asdas,"
                                                              What does this graph tell you:cvb
                                                              Do you think the loss of seagrass is contributing to the UME?cvb
                                                              Why?cvb
                                                              How would you test to see if that is the cause?cvb",Investigate Algal Blooms,dfg, Do you think algal blooms are contributing to the UME?dg,Analyze Water Quality,dfg, Do you think water quality is contributing to the UME?dfg,Look for Invasive Species,dfgdf, Do you think invasive species are contributing to the UME? Why?dfg,Necropsy of Affected Dolphins,sdfsd, Conclusions:sdf,Investigate Algal Blooms,asd, Do you think algal blooms are contributing to the UME?asd,Analyze Water Quality,asd, Do you think water quality is contributing to the UME?asd,Look for Invasive Species,asd, Do you think invasive species are contributing to the UME? Why?asd,
GaTech (18),fjskdj,Manatees,manatee,cc,dd,cc,Necropsy of Affected Manatees,sjdskfjd, Conclusions:jdsf,Analyze Water Quality,shdf, Do you think water quality is contributing to the UME?ss,,,,,,,,,,,dd,dd,dd,dd,dd,d,d,,
Jake (19),Hunters,Manatees,fish eater,fish are bad,seems right,eat fish,Look for Invasive Species,parasites, Do you think invasive species are contributing to the UME? Why?dsa,Analyze Water Quality,pllution, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,fd,fd,neither,fd,as,as,as,a,a
melaniemelanie2 (20),rrr,Bottlenose Dolphins,sss,ss,ss,ss,Necropsy of Affected Dolphins,ss, Conclusions:s,,,,,,,,,,,,,,asd,asd,asd,asd,sd,sd,sd,,
askdjasdkjdasy (21),my question,Manatees,f,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,
skdfjsdkj (22),xccvc,Bottlenose Dolphins,dfgdfg,bvnb,vbnbv,vbnbv,,,,,,,,,,,,,,,,,,,,,,,,,
kjsakdfsjh (24),ftyrftyt,Manatees,hgjhjgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organige kitt (26),asd,Manatees,asdasd,asd,asd,asd,,,,,,,,,,,,,,,,,,,,,,,,,
LaikaM7 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skdjfksdjiwoeursdkfns (28),dfdf,Manatees,sfsd,sdsd,sdds,sdds,Analyze Water Quality,assaa, Do you think water quality is contributing to the UME?asdasdas,Seagrass Examination,asdsa,"
                                                              What does this graph tell you:asdas
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?asdas
                                                              Why?asdas
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?asdsa
                                                              How would you test to see if that is the cause?asdas",,,,,,,,,,,,,,,,,,,
Jason (29),"Changing sea level, change in water salinity, loss of food resources.",Bottlenose Dolphins,It is a species at the top of the food chain.,loss of food resources,animals dying off,looking at prey species,Necropsy of Affected Dolphins,stomach," Conclusions:normal abdomen, the high number with infections",Investigate Algal Blooms,increase concentration of algae, Do you think algal blooms are contributing to the UME?yes,,,,,,,,,,,,,,,,,,,
ksjdkjsakjdai (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
askdjlkasj (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekhraisdh (34),Question question question,Manatees,aksdklnas,hypothessi,rationale,test,Necropsy of Affected Manatees,dfgdf, Conclusions:dfgdf,Seagrass Examination,dgdfg,"
                                                              What does this graph tell you:dfgf
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?dfgdf
                                                              Why?dgdf
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?dgdf
                                                              How would you test to see if that is the cause?dfgdf",,,,,,,,,,,,,,,,,,,
ka (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakldjaklsj (36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjasljdioqwieoqh (37),asdas,Manatees,because they are awesome,The manatees are dying because of lack of sea grass,"Manatees eat sea grass, and if they don't have any food they will starve",I want to see if manatees are emaciated,Necropsy of Affected Manatees,qweqw, Conclusions:qweqw,Seagrass Examination,asdas,"
                                                              What does this graph tell you:qweqw
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?qweqw
                                                              Why?qweqweqw
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?qweqweqw
                                                              How would you test to see if that is the cause?qweqwqw",,,,,,,,,,,,,,,,,,,
Ellen Litkowski (38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015077 (39),Polution,Bottlenose Dolphins,theres not alot of them left,dolphin are becoming low because of the polluted ocean,i dont have one,get some dolphins from the ocean,Look for Invasive Species,invasive specie, Do you think invasive species are contributing to the UME? Why?i think so because so what had happened ,Analyze Water Quality,the quality of water, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,whats going on in the water,information on the water,supported,it goes with what i'm saying,the water ,yes,its specific because it effects the dolphins,neutral,its neutral in my opinion 
2066545 (40),I think it is caused by destruction and lack of care,Bottlenose Dolphins,I think they are most important because they nice and they don't do no harm,my hypothesis is that dolphins is good for the wildlife,my rationale for choosing this is to say that dolphins have a good impact on their population,i want to go visit a bottlenose dolphin,Necropsy of Affected Dolphins,Their bottenose and the way they swim, Conclusions:yes thei hypothesis is supportful,Analyze Water Quality,i will look for the water temperature, Do you think water quality is contributing to the UME?Water can act as a buffer to protect aquatic life from drastic changes in pH. ,,,,,,,,,,,i made that dolphins are no harm to people ,i made that dolphins are friendly ,supported,it was supported because it explained what impact dolphins have on its population,they are not doing nothing wrong,other species affected as well,dolphins can't be only ones being treated wrong,different in the indian river lagoon,its different because they have made some changes
2061343 (41),i think that what is causing the unusual events are what is in the water that people are putting in there,Bottlenose Dolphins,about the high death rate ,how are they so intelligent ,"because i want to know how they think ,and why are they so smart ",test dolphin myself and see how it goes ,Necropsy of Affected Dolphins,what they have and what they look like. , Conclusions:some animals have skin lesion. my hypothesis is supported ,Investigate Algal Blooms,a rapid increase in population of algal , Do you think algal blooms are contributing to the UME?no,Analyze Water Quality,what kind of minerals are in water , Do you think water quality is contributing to the UME?yes ,,,,,,,,how they respond to certain things ,how did they learn certain things ,supported,because it let me know that happened ,that they ,other species were effected as well ,specific because other animals are there. ,the cause would be different ,because if was different things happening 
1014744 (42),Chemicals in the environment.,Manatees,Because their slow swimmers.,If we find the more female manatees for the male manatees then reproducing would be a breeze.,They say that manatees reproduction rate is slow.,Put one female manatee and one male manatee in the same place.,Necropsy of Affected Manatees,How one reacts to the other., Conclusions:None my hypothesis is supported.,Seagrass Examination,How the grass grows in the lagoon.,"
                                                              What does this graph tell you:they less to eat.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes 
                                                              Why?1943 they had plenty until 2012.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?Without sea grass the manatees will die of hunger.
                                                              How would you test to see if that is the cause?I don't know.",,,,,,,,,,,Necropsy of Affected Manatees,None ,Supported,I don't know I think because I said the manatees reproduction is slow.,That the manatees might go exsticted.,Manatees alone.,Because manatees are awsome.,Different,Don't know
2056683 (43),pollution,Bottlenose Dolphins,because they have a low population,what is the cause of the dolpins dying?,because they are going exitinct,look into the dophins homes,Necropsy of Affected Dolphins,i would look for the nose, Conclusions:external appearance,Look for Invasive Species,invasive species,"
                                                              What does this graph tell you:that the seagras has decreased in the last 2 years
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?no
                                                              Why?because it just started decreasing in the last 2 years
                                                              How would you test to see if that is the cause?i would test the soil",Investigate Algal Blooms,i would look for algal blooms, Do you think algal blooms are contributing to the UME?yes,Analyze Water Quality,the water quality, Do you think invasive species are contributing to the UME? Why?yes thats the cause of every effect,,,,,none,none,nope,it was not supported,they are becoming extinct because of there pollution,no,idk,its kind of the same because both are going extinct.,both are going extinct
2051121 (44),"I believe that the events are related to water pollution, or it may be an issue within the population of a species. This could possibly lead to an imbalance in the cycle of predator &amp; prey; as well as food resources.",Bottlenose Dolphins,"These rare and friendly creatures play an important role in the underwater foodchain. If dolphins were to completely perish, a rapid reproduction in their food resources would begin. The more these preys reproduce; they will soon become predators; they are nolonger threatened by the party of dolphins. If this occurs, then they are free to eat their own food resources, causing imbalances in reproduction, &amp; producing a dysfunctional cycle within the food chain. This may also result in starvation, and increase the annual death rates.","The extinction of dolphins will result in imbalances of the food chain, and may eventually lead to starvation.","If dolphins perish, then their food resource will beging reproducing more rapily. As their reproduction increases, they are free to feed on their prey of choice; there is nolonger an outer force determining the outlines of their diet. If prey is being consumed too rapidly, it decreases their chances of reproduction, and they too will become extinct. Without sources of new prey, imbalances will occur, complemented with starvation.  ",YES.,Analyze Water Quality,If water pollution is a factor in increasing death rates., Do you think water quality is contributing to the UME?YES.,,,,,,,,,,,,,,Water pollution &amp; food resources are a reason for the scarcity of dolphins.,"Herbivores affect carnivores. Without herbivores, carnivores are basically nothing.",Supported.,"I think my hypothesis is supported due to the fact my statements were in relation to water pollution, and sources of food.","Some of the factors in the events of morality in relation to the dolphin species include water pollution, and the declining of food resources.",Other species may also be affected in the cycle of imbalance.,It is not specific. This type of thing can occur within any race of species.,The Same.,"Water pollution can spread throughout the river, and affect many species. There are also multiple organisms that feed off herbivores, and their decline in reproduction may also lead to the extinction of multiple species."
1025104 (45),the things that was in the water,Bottlenose Dolphins,i really enjoy learning about dolphins and that are beautiful creatures,how fast does a bottlenose dolphin swim compared to any other dolphins?,because i always wanted to know how fast a dolphin swim and compared to other dolphins,by measuring the time limit it takes two dolphin to arrive at a specific loation,Necropsy of Affected Dolphins,the effects of dolphins death , Conclusions:no my hypothesis was refuted but i found out that usually dolphins have many health problems that causes their deaths,Analyze Water Quality,does fresh water or salt water effect the dolphins swimming habbits , Do you think water quality is contributing to the UME?yes,,,,,,,,,,,nothing,nothing,neither,because i didn't find do bottlenose dolphins swim faster than any other types of dolphins,nothing,no,because i didnt find what i was researching so i cant say,i dont know honestly,i dont know
1011533 (46),pollution,Manatees,manatees need water to survive ,My Hypothesis is that Mantees can survive with water and also swim in water ,The reason for this hypothesis because Mantees need water ,in water ,Look for Invasive Species,The type of species , Do you think invasive species are contributing to the UME? Why?Yes Because The indian river has pollution,Investigate Algal Blooms,How They affect the enviorment of the manatees, Do you think algal blooms are contributing to the UME?Yes,Necropsy of Affected Manatees,The affect on the manatees, Conclusions:yes,,,,,,,,i have obeserved that the manatees will grow,i have observed that speices can be affect coral reef ,Supported ,supported ,i can in conclude the growth of the manatees,the manatees should be with other species ,IT IS SPECIFIC BECUASE MANATEES NEED OTHER MANATEES ,YES,THE SAME BECAUSE IT A CORAL REEF THAT AFFECT THE MANATEES
1026189 (47),I think pollution caused the events to occur,Manatees,Manatees are important to focus on because they are endangered and are hunting predators,if manatees can survive underwater then maybe they can survive in different habitats ,i chose this because most people dont seem to realize that they're endangering manatees by constantly killing them ,by doing an experiment,Look for Invasive Species,What causes the manatees to become endangered species, Do you think invasive species are contributing to the UME? Why?I think it is because most days you would see majority of mammals suffering from being known as predators and are intentionally made out of people's clothing,Look for Invasive Species,The purposes of hunting endagered species , Do you think invasive species are contributing to the UME? Why?yes it is because you would normally see many animals and mammals suffering from abuse ,Look for Invasive Species,:):):):):):):):):, Do you think invasive species are contributing to the UME? Why?bfgsbg,,,,,,,,,,,,,,,,
1022096 (48),pollution,Manatees,because they belong to a small group of herbrivores,if there is more manatees their birth rate will get larger,idk,seeing how many mantees there is in the world,Look for Invasive Species,what kind of species, Do you think invasive species are contributing to the UME? Why?yes because they are helping the environment,,,,,,,,,,,,,,their birth rate didnt increase,the quality of water was low,refuted,because it was not right,the death rate,no,they are part of a system,no,becaus ethere are not enough mantees
